Baseline 100%T,,IRRAD BUDAPEST J4 0.4dpa POST VDG,,
Wavelength (nm),%T,Wavelength (nm),%T,
2775,105.1027145,2424.824951,87.53742981,
2774,105.1607513,2423.157959,87.53269958,
2773,105.2530441,2421.490967,87.51082611,
2772,105.3215485,2419.823975,87.52635956,
2771,105.3676376,2418.156982,87.53821564,
2770,105.3691254,2416.48999,87.50839996,
2769,105.3317566,2414.822998,87.52181244,
2768,105.3145523,2413.156006,87.54044342,
2767,105.2832031,2411.489014,87.5249176,
2766,105.1556091,2409.822021,87.50630188,
2765,105.0348969,2408.155029,87.53726196,
2764,104.9044495,2406.488037,87.52238464,
2763,104.8292313,2404.821045,87.51101685,
2762,104.7272186,2403.154053,87.53540039,
2761,104.6805496,2401.487061,87.5280838,
2760,104.6872101,2399.820068,87.51066589,
2759,104.7677002,2398.153076,87.52500153,
2758,104.8928375,2396.486084,87.53670502,
2757,105.0097961,2394.819092,87.51681519,
2756,105.0552216,2393.151855,87.51780701,
2755,105.0656815,2391.484863,87.54128265,
2754,105.0086746,2389.817871,87.52201843,
2753,105.0119629,2388.150879,87.50375366,
2752,105.0652618,2386.483887,87.53591919,
2751,105.0997391,2384.816895,87.52197266,
2750,105.1157608,2383.149902,87.49791718,
2749,105.1287155,2381.48291,87.49743652,
2748,105.1841965,2379.815918,87.52784729,
2747,105.2015762,2378.148926,87.49764252,
2746,105.203331,2376.481934,87.4777832,
2745,105.2065125,2374.814941,87.50856781,
2744,105.2728195,2373.147949,87.50245667,
2743,105.3517227,2371.480957,87.46803284,
2742,105.4464569,2369.813965,87.49559784,
2741,105.4659958,2368.146973,87.51025391,
2740,105.4138794,2366.47998,87.48870087,
2739,105.4397736,2364.812988,87.4828186,
2738,105.4815292,2363.145996,87.50691223,
2737,105.531395,2361.479004,87.52515411,
2736,105.5985336,2359.812012,87.48994446,
2735,105.676033,2358.14502,87.5019455,
2734,105.702713,2356.478027,87.51636505,
2733,105.6799164,2354.811035,87.5083847,
2732,105.6833878,2353.144043,87.48703766,
2731,105.6941757,2351.477051,87.5001297,
2730,105.7178879,2349.810059,87.49687958,
2729,105.8170471,2348.143066,87.47709656,
2728,105.9260941,2346.476074,87.47080994,
2727,106.0661926,2344.809082,87.49039459,
2726,106.1605682,2343.14209,87.48939514,
2725,106.1775208,2341.474854,87.46903229,
2724,106.1316757,2339.807861,87.47122955,
2723,106.0905457,2338.140869,87.49162292,
2722,105.9916763,2336.473877,87.48310089,
2721,105.880806,2334.806885,87.4726944,
2720,105.7933121,2333.139893,87.4704361,
2719,105.6946869,2331.4729,87.50102234,
2718,105.5493851,2329.805908,87.48242188,
2717,105.4433136,2328.138916,87.46651459,
2716,105.3573608,2326.471924,87.49458313,
2715,105.2876587,2324.804932,87.48581696,
2714,105.2717056,2323.137939,87.46216583,
2713,105.2763443,2321.470947,87.4532547,
2712,105.2646255,2319.803955,87.46159363,
2711,105.2676239,2318.136963,87.4647522,
2710,105.1921463,2316.469971,87.44326782,
2709,105.0490112,2314.802979,87.44203949,
2708,104.9461975,2313.135986,87.46215057,
2707,104.9049377,2311.468994,87.46446991,
2706,104.8903122,2309.802002,87.43895721,
2705,104.9180145,2308.13501,87.43911743,
2704,104.9819794,2306.468018,87.45186615,
2703,104.9876099,2304.801025,87.44380188,
2702,105.0642166,2303.134033,87.4281311,
2701,105.1437607,2301.467041,87.42445374,
2700,105.114624,2299.800049,87.43519592,
2699,105.0406494,2298.133057,87.429039,
2698,104.9877319,2296.466064,87.42334747,
2697,104.9014587,2294.799072,87.42189026,
2696,104.859436,2293.13208,87.41963196,
2695,104.8504715,2291.465088,87.41280365,
2694,104.7802124,2289.797852,87.41524506,
2693,104.7579269,2288.130859,87.42258453,
2692,104.7263641,2286.463867,87.40937805,
2691,104.6894531,2284.796875,87.4072876,
2690,104.6655655,2283.129883,87.41927338,
2689,104.6909485,2281.462891,87.41847229,
2688,104.6864853,2279.795898,87.41756439,
2687,104.6577682,2278.128906,87.40359497,
2686,104.6174011,2276.461914,87.39620209,
2685,104.5730591,2274.794922,87.39857483,
2684,104.5683899,2273.12793,87.39369202,
2683,104.591301,2271.460938,87.39450073,
2682,104.5172577,2269.793945,87.38787079,
2681,104.4101944,2268.126953,87.38589478,
2680,104.35923,2266.459961,87.39904022,
2679,104.1784286,2264.792969,87.39665985,
2678,104.0447235,2263.125977,87.39431763,
2677,103.8575058,2261.458984,87.39110565,
2676,103.5424576,2259.791992,87.39454651,
2675,103.225029,2258.125,87.39835358,
2674,102.9178009,2256.458008,87.39900208,
